gene,entrez_gene_id
LOC100750376,100750376
Ttc21a,100756261
Rfc5,100753174
Rab43,100764956
Rtkn,100762847
Dnah10,103161549
Hdhd5,100757691
Rbm15b,100773793
Zcchc14,100769526
Hoxd8,100758537
LOC100758113,100758113
Fam149b1,100761680
LOC100766443,100766443
Vps13d,100755898
Sipa1,100762087
Oxgr1,100761985
Cpped1,100754184
Ccnk,100769288
Ints3,100768339
Rnf10,100755177
LOC100689010,100689010
E2f3,100754647
Rab39a,100770178
Tmem185a,103163527
Galnt7,100762043
LOC100759771,100759771
LOC100759587,100759587
Gapdh,100736557
Stk19,100768271
Znf292,100767857
LOC100750903,100750903
Vps8,100754231
Hsdl2,100769693
LOC118239205,118239205
Med11,100768888
Hmces,100763397
LOC100757481,100757481
LOC103162746,103162746
Ccnb1,100770842
Etv1,100758498
LOC100771510,100771510
Il9r,100759467
Ubr3,100772607
Dnajc6,100756272
Cdkn1a,103160601
Arhgap1,100754369
Tmem199,100758701
Rtl6,107977059
Adgrf4,100770639
Bcor,100767711
Flrt3,100771316
Pde6b,100766007
Mrpl11,100761388
Farsa,100763673
Supv3l1,100765993
Rpl32,100770845
Ucn,100766070
Cdkn2aip,100755619
Elk3,100689475
LOC100774067,100774067
Slc7a5,100768667
LOC103158860,103158860
Apip,100774834
Pofut1,100753417
Myrfl,100760130
Wdr76,100753189
Lrrc28,100769663
Ube2n,100752830
LOC100770841,100770841
Fam151b,100761480
Uxs1,100763471
Dse,100775050
Adck2,100771195
Kank2,100756045
LOC100751635,100751635
LOC113834001,113834001
Plod3,100768993
LOC100755444,100755444
Dcun1d3,100752469
Pcyox1l,100758588
Trmt1,100765046
Hspa4l,100774014
Ppt1,100750408
LOC100764224,100764224
Tap2,100752033
LOC113838144,113838144
Ahsa1,100760684
Gemin8,100765564
Kif18b,100765148
Slc25a12,100768097
Epha3,100768107
Fam83e,100756463
LOC113838228,113838228
Dtd1,100765967
Ppp4r1,100757531
Zswim8,100762983
Tmbim1,100750818
LOC100770865,100770865
Gusb,100757362
Polr2k,100762645
LOC100771168,100771168
Cblb,100774600
LOC100764653,100764653
Dgcr2,100772062
Osbpl2,100754515
LOC100766063,100766063
LOC113831379,113831379
LOC100772545,100772545
Cep85,100768859
LOC100768787,100768787
Agtrap,100774061
Hunk,100765960
LOC100770926,100770926
