Batch ID,Interval,EX_bhb_e,EX_glc_e,Glutamate (Met),Glutamine (Met),Lactate (Met),EX_nh4_e,exp_growth_rate,EX_ac_e,EX_ala_L_e,EX_arg_L_e,EX_asn_L_e,EX_asp_L_e,EX_2hb_e,EX_cit_e,EX_cys_L_e,EX_etoh_e,EX_for_e,EX_fum_e,glucose,EX_glu_L_e,EX_gln_L_e,EX_gly_e,EX_his_L_e,EX_4hpro_e,EX_ile_L_e,,EX_lac_L_e,EX_leu_L_e,EX_lys_L_e,EX_mal_L_e,EX_met_L_e,EX_phe_L_e,EX_pro_L_e,EX_5oxpro_e,EX_pyr_e,EX_ser_L_e,EX_thr_L_e,EX_trp_L_e,EX_tyr_L_e,EX_val_L_e
U4,P0 to P2,0.0,-0.4605183902012353,-0.018020284833961446,-0.32836963475218617,0.0,0.39244175860627123,0.03194602306128404,0.03161393114394892,0.19706975288028677,-0.010496266468958475,-0.2925700657438013,0.041886660316649456,0.009528936793139596,0.0,-0.01635034277362538,0.17243588061180265,0.11864313710322452,0.0,-0.00827959738368577,0.035614005403248356,-0.5113180906749917,0.039745434578288434,-0.009019459733670724,0.0012319051824199298,-0.009697798322024984,0.0,0.0,-0.01912448591498919,-0.019770819859812435,0.0,-0.011211711387771831,0.006854956551904812,0.1390024187768221,0.3039487975997193,0.09077188439337272,-0.15555359812542677,-0.017991462295793806,-0.004505502001037476,-0.00999577999462696,-0.021124838348436543
U4,P12 to P14,0.00013272174025271628,-0.1388219804705522,0.004465397975571598,0.0,0.0,0.0037847891828894347,0.0018961221632617274,0.028561685622369926,0.00027550777676529486,0.0012676318539360733,0.0,0.0012970012891148565,0.0007388944512991497,-0.00019111910871289284,0.0,-0.0018543514199495558,-0.0036059925490794773,-3.23195644073701e-05,-0.1340544595446383,0.002402256374088224,4.125133100978524e-05,0.0024867487011397413,-0.00013258758185436234,0.0021148194061738246,-0.001434809698420413,0.0006085074705725416,0.002134613080557471,-0.0010093346656209843,0.0009505031626466287,1.071643719859022e-05,0.00016147846765170724,-0.0001778791070946248,0.0016313198269279348,0.006494491440307945,0.000875481983472989,0.0005790593836691613,0.0010236603488896717,-0.00042372357515460497,-1.5022963393275966e-05,-0.0009989851323690016
U4,P2 to P4,-2.471886148942205e-05,-0.2646866045007001,0.011761829975952586,-0.09650932568294802,0.0,0.13668828218331697,0.036151474706364185,0.003087220663330417,0.09081963155528314,-0.02292904068920897,-0.13108458427785688,0.011529282192599358,0.0019433689058795933,0.0074314526283622674,-0.00351444894757984,0.003032950813579058,0.03457153597920892,0.0,-0.2949939023416416,0.013159483546098472,-0.12706129114685014,0.020447790803606182,-0.008506000053421134,-0.002263383504744412,-0.019279274432906238,0.0,0.0,-0.03077640704796688,-0.030997070920119208,0.0,-0.008584889184450533,-0.012548390835300129,-0.048177884149825066,0.013969105557358757,0.06528537931080901,-0.08201660073648985,-0.02263222065802335,-0.005132893209921104,-0.008514326710928126,-0.0222273070507414
U4,P4 to P6,-5.6109671135120386e-05,-0.2468728889138848,0.0012123437071752158,-0.011211403786475362,0.0,-0.054294624739658785,0.012617780920061862,0.009759245001573706,0.015737985251661264,-0.007859653523310889,-0.026114736035524777,-0.006947800654143444,0.002629338279034265,0.0053637693163703795,-0.0006766294634806327,-0.0020051021252196935,0.018605111398650547,0.00031350479754892023,-0.25645269364168116,0.002351503415602312,-0.010396711678059478,0.01833506653304079,-0.003689232953684352,-0.0006785214786827263,-0.011744905888224702,0.004108404181650648,0.005662980694484802,-0.017160435528842465,-0.010232753497509522,0.0,-0.003763924414972918,-0.005648297952006625,-0.009000243141958924,0.007463244789503541,-0.043212006587985734,-0.02954673444235316,-0.007444621774565981,-0.0025348066345323786,-0.004097060621714477,-0.012228636050079402
U4,P6 to P8,0.0002604314181611744,-0.1500170850866792,0.0024693447221858346,-0.0026628879226468028,0.0,0.01816298816696719,0.004391621551131743,0.014326917987434126,-0.03737351843683951,-0.003729762673653511,-0.008917620748358843,-0.005306511353566699,0.0014319856472905755,0.003158308853533243,-0.0003157842778521181,-0.002274678027925799,0.007981844966416995,0.00011082111693627943,-0.1909244382181956,0.0046560516149561,-0.0009244853913062355,0.010250781280997632,-0.0011777819470071625,0.00046434175791060527,-0.00753100715589785,0.007875669067668976,0.00045431214103033407,-0.01288955417800004,-0.005234863891372659,0.0,-0.0017458621916141294,-0.002353889479395763,-0.003878691852344039,0.00534215156164972,-0.0019160686663706723,-0.012431935223176888,-0.004132682579530246,-0.0017677055331398995,-0.0018923420608044307,-0.007281361927687921
U4,P8 to P12,0.00010745560636903424,-0.39803914794674045,0.0018782386743685412,0.0,0.0,0.01829868421295117,-0.005448551614042427,0.0611061209034753,0.0011564031266676398,0.00021899679430928393,0.0,-0.009163027811490025,0.0028907086354345297,-0.000625515400281907,0.0,-0.002417333173349793,-0.003097262280940416,0.0006903043335799026,-0.35751599864604455,0.0045127265180302314,0.00029896684166702287,0.012202341891511781,0.0005468356327533034,-0.000498071297002677,-0.006074746725275009,0.009060762453623597,0.005444913966854926,-0.008914053211292147,0.000472679366612129,0.002916622490002819,-0.0007931808193516858,-0.0007830179590360444,0.0008246206236424164,0.016903041861091556,0.0011403063564610486,0.000792649910632388,-0.0010819708015991222,-0.0031781600458075173,-0.00021725356383137616,-0.004436981024644464
U5,P0 to P2,0.0,-0.6485395849346648,-0.036029976940814744,-0.3699077632590316,0.0,0.42275599962621546,0.03465754637187661,0.027314398443844822,0.208391081836289,-0.037133013711644056,-0.41951562161284156,0.0109403363386014,0.00976170172280294,0.0,-0.017160652639164796,0.6156691323737871,0.13646359296287358,0.0,-0.2613227552359489,0.00023219698727062316,-0.7016768442239255,0.052557304864146864,-0.024842491379940865,-0.02715082820818515,-0.05391926294798394,0.0,0.0,-0.08109320587832997,-0.03157348211936282,0.0,-0.019404525820805343,-0.01926224266618178,0.14695120289201144,0.360292840227409,0.08490248479767672,-0.2722594709556848,-0.05415405251691437,-0.009281079224941442,-0.032296966636259035,-0.05281817721606971
U5,P12 to P14,0.00014508740169406393,-0.13364477049113527,0.00335697394626186,0.0,0.0,0.0020987926825881665,0.0018049216799819543,0.03127832997916433,0.0006749624961561968,0.0010181840806003097,0.0,0.00046881976247792714,0.0008155487326866435,0.0007848403053769464,0.0,0.002503079369676263,-0.00086963866376717,0.0002720796969146165,-0.12918105677188957,0.002137444608981939,0.00010369111311535975,0.009352321085274026,-1.4169387510412816e-05,0.0009168322225636786,-0.0009547060464053968,0.002278373660644954,0.0008844885282169901,-0.0006992286526195905,0.0017622530638978513,0.00022978948629697233,0.00013718765446517637,2.4047426327991205e-05,0.002368077540135418,0.00897260603258468,0.0011136376245661774,0.00044912382254331347,0.0019443995132616572,-0.0003262266914310278,-0.00024049512459140934,-0.0005314588203690355
U5,P2 to P4,-2.7838796883690413e-05,-0.17633683679050455,0.014617986905597902,-0.09463339502790655,0.0,0.13192477668573502,0.03634059690486983,0.004103377509804376,0.08813809888147384,-0.01639466218196547,-0.11679935650700048,0.01924948480784369,0.0012126784995436257,0.00793494905139256,-0.004308355593595103,-0.06713493259160296,0.039003857326784366,0.0005214413798022881,-0.12896119099032127,0.02009063059427308,-0.1135614367471358,0.023581855989277003,-0.007402418525464664,-0.00022441923395668024,-0.00941462602691731,0.0007878083260173911,0.0,-0.017176110032326997,-0.028355753158682936,0.0,-0.007963912321948607,-0.008036488038250118,-0.04352227974203985,0.024433423709516032,0.054349526063097536,-0.06844837181899173,-0.018574157733439352,-0.003229343211005876,-0.004639305463342237,-0.013129292640678232
U5,P4 to P6,0.0004195497712780799,-0.22204689702913566,0.0006626479182274212,-0.020548003602020314,0.0,-0.06138573566383653,0.014699091773065814,0.0068593673666074014,0.04933365614147868,-0.009092796810912419,-0.034379634978350414,-0.005188530982290844,0.003459656706423139,0.005153027117834129,-0.0007001066649724093,0.003599258760211581,0.017556755528012183,0.0002033638476230067,-0.286201290041653,0.0007668496737683294,-0.017727855389831064,0.012263084736206298,-0.00251362037445759,0.0004510081085893765,-0.012002511895130293,0.002976893174406433,0.006258938615499616,-0.017172718139511958,-0.01046197200326198,0.0,-0.003263363768171806,-0.005501273316955793,-0.00838492325102655,0.0052963092148510865,-0.035009702165804554,-0.03265877601895955,-0.006436922514776776,-0.0025037600596798885,-0.0040619088145454185,-0.012540364732229959
U5,P6 to P8,-0.0002877248100443144,-0.19228421906461415,0.002702348363086819,0.0,0.0,0.02331062214159881,0.007192980153562901,0.01453461492671798,-0.048735649054076124,-0.004145575197772328,-0.007949354506663205,-0.006090793280924063,0.0015998587717937342,0.0038034768036800484,-0.000289837948925198,-0.0006996115374376594,0.00837932947716816,2.9387701051027056e-05,-0.1850432977018248,0.0046766363957653784,-0.00024254289641361572,0.011525679200938612,-0.001463966109484069,0.0005220002259104798,-0.007219233843584634,0.006781638030236477,0.0007374490290121922,-0.012049377379716163,-0.006139594730788754,0.0,-0.0019374032198188635,-0.0024176396301508383,-0.006027176305320941,0.006619140270189231,-0.0027418154247794545,-0.012076313396340795,-0.004040741270382714,-0.0019918552932896125,-0.002279300559742607,-0.0071008513205830575
U5,P8 to P12,0.00035481472053759124,-0.3415700408495852,-0.0021212778207339517,0.0,0.0,0.013138489039389769,-0.0013506574153353324,0.04790219037360504,1.3209154734966437e-05,0.00025435597319997547,-0.00024110785972096012,-0.007996393398373994,0.002152747295595608,0.0009097876037538619,0.0,-0.005527549012199066,-0.002644925173970851,0.0007263829373162364,-0.3416118225813379,0.0003929052290719168,0.00019557636358268063,0.010291511995716112,0.00016757392164138635,0.0003351037100789828,-0.007021209591279421,0.009666215124860652,0.004506501109745184,-0.010453725749735625,5.225797572009334e-05,0.0025629654514710376,-0.0008918685175458864,-0.0009660657021578424,-9.151150395009334e-05,0.0139837198003977,0.0009289110898696676,-0.00015548975765283847,-0.0019482666137684462,-0.0027485328407542415,-0.00039270726971665397,-0.006000816544544207
U6,P0 to P2,0.0,-0.5600008019764546,-0.056000080197645664,-0.30696340256487264,0.0,0.4106672547827353,0.03857293418595174,0.030634701912663913,0.2109044135964798,-0.033249587895103995,-0.32314966815700735,0.044377797822632896,0.006762316051612066,0.0,-0.015653398488609988,0.12949970156876522,0.12012483926592529,0.0,-0.364183466582537,0.03659077508115125,-0.5546562271514249,0.04690811297767099,-0.004084249816217316,-0.0025757616297445323,-0.03436582610800448,0.0,0.0,-0.05632912366550714,-0.037235322087019046,0.0,-0.01983469667093825,-0.007885555777710399,0.10506646958235749,0.28354059112398866,0.10126321055257571,-0.18792952086189468,-0.03658126880141418,-0.004657263443887968,0.0005327054548987596,-0.04901842300969927
U6,P12 to P14,9.800774005065338e-05,-0.15376391434688638,0.008030536948406561,0.0,0.0,0.003587916689023528,0.0014906305373095518,0.034624907156104154,-0.00019646591400559685,0.0003143111040880583,0.0,0.0012010627150563656,0.0008560266290818548,0.0008638263890777049,0.0,0.017563020581595333,-0.0024764633751493174,-4.60944722291376e-05,-0.1449262650569778,0.006591387799841361,0.00022174685591729964,0.0016605212972506265,0.0002853123296097085,-0.0004977098059127978,-0.0018614655291504811,0.0028939659932991986,0.0006506878201936322,-0.0012670106356815131,0.000830886370678788,0.0010123001686852594,-0.0003148315967634434,0.0006163321821374786,-0.0013111374770686146,0.010645938482384404,-0.00023882643573431395,0.0007783124862818006,0.000882901259412521,-0.0005661423904040324,-8.41361988535695e-05,-0.001225442171211974
