23dpg_c → 2pg_c_summed_flux,f6p_c → fdp_c_summed_flux,ac_c → accoa_c_summed_flux,13dpg_c → 3pg_c_summed_flux,glc_D_r → g6p_r_summed_flux,etoh_c → acald_c_summed_flux,acald_c → ac_c_summed_flux,23dpg_c → 3pg_c_summed_flux,13dpg_c → 23dpg_c_summed_flux,2pg_c → pep_c_summed_flux,fdp_c → dhap_c + g3p_c_summed_flux,fdp_c → f6p_c_summed_flux,glyc3p_c → dhap_c_summed_flux,g6p_r → glc_D_r_summed_flux,g3p_c → 13dpg_c_summed_flux,glc_D_c → g6p_c_summed_flux,bglc_D_c → bg6p_c_summed_flux,bg6p_c → g6p_c_summed_flux,bg6p_c → f6p_c_summed_flux,lac_L_c → pyr_c_summed_flux,pyr_m → accoa_m_summed_flux,oaa_c → pep_c_summed_flux,oaa_m → pep_m_summed_flux,g6p_c → f6p_c_summed_flux,3pg_c → 13dpg_c_summed_flux,2pg_c → 3pg_c_summed_flux,g1p_c → g6p_c_summed_flux,pep_c → pyr_c_summed_flux,glyc3p_x → dhap_x_summed_flux,dhap_c → g3p_c_summed_flux,glc_D_c → bglc_D_c_summed_flux,gdpglc_c → g1p_c_summed_flux,dhap_c → glyc3p_c_summed_flux,accoa_c → ac_c_summed_flux
2.8883136239815075e-05,0.20984298958259237,0.00016398673199588738,7.0669699866759615e-06,46.05100013460295,0.0,0.0035212707069166766,1.6379874570762707e-05,4.526301081060208e-05,161.96029784033556,0.20984298958259243,0,848.6133402210278,0.0022565167930120016,161.94434183251576,12.311829701906195,0.046595484549286796,697.363948263383,-697.3173527788339,-700.8780675936929,0.00013116891333749843,0,366.9028026972905,628.4680733452225,-161.94428950253482,-161.94421763424398,-58.148263744787975,528.8630528894488,-792.741358932576,69.45623553185902,0.046595484549286824,0,55.872013008701934,0
2.88810394522526e-05,0.333808248514623,0.0001639775828525729,7.066456956004726e-06,46.113798262866055,0.0,0.03609027981315818,1.637868546453167e-05,4.5259724916808576e-05,162.27184167662028,0.333808248514623,0,845.199857422847,0.002297883162033963,162.255858079463,12.185872152324338,0.04659538612625549,691.6297380184276,-691.5831426323025,-694.681649635299,0.00021165024427992473,0,370.1042440500269,622.7101538179429,-162.25580575328053,-162.2558431287034,-58.11270601162156,532.3760378264743,-786.9397038215865,69.57710759697643,0.0465953861262555,0,58.260192025029966,0
2.888143549565554e-05,0.33540118392400764,0.00015563280340938796,7.0665538577683995e-06,46.11324181796766,0.0,0.03610927330924961,1.6378910064146172e-05,4.526034555982599e-05,162.26779509783728,0.33540118392400764,0,845.1499420081964,0.002300322466957282,162.25191531127768,12.18987903842822,0.04736280833702574,691.8442113268229,-691.7968485184862,-694.644722147415,0.0004890261384483857,0,370.1726758846212,622.9220894054595,-162.25186298437765,-162.2517957048475,-58.116837762689265,532.4404257171259,-786.9032516605909,69.57483833006354,0.047362808337025775,0,58.24673500981935,0
2.886441147057999e-05,0.3641733583807162,0.000156098507977477,7.062388511136288e-06,25.729914441224324,0.0,0.03631559682289395,1.6369255593346623e-05,4.523366706395096e-05,125.08682437658888,0.36417335838071613,0,984.2865530555895,0.002278332971067033,125.07097381842641,12.332881945048044,0.04734375132762759,970.0593810439606,-970.0120372926333,-714.1172364619531,0.0006060618351341355,0,283.4526277253189,899.0958066678159,-125.07092152236936,-125.07097242201834,-37.86516522074017,408.5394068631568,-853.3056246842491,50.63650747837828,0.04734375132762761,0,130.98102898608698,0
2.8799683050761165e-05,0.3802380592416763,0.00015603047800175757,7.046551110504077e-06,25.727458683358527,0.0,0.0386544885691214,1.6332547550667566e-05,4.513223060145309e-05,125.07415687385173,0.38023805924167614,0,984.685987898621,0.0019077420806127927,125.05831044952652,12.335538778217302,0.04746207740381161,969.9280749510435,-969.8806128736401,-714.2079942591354,0.004144003459701392,0,283.48360997703355,898.97330281691,-125.058258270743,-125.05830925398456,-37.85603020017235,408.5577266001369,-853.480042855738,50.62782052645517,0.047462077403811656,0,131.20607186688264,0
2.8799561842640107e-05,0.361335682708072,0.00017170158826854592,7.046521453954781e-06,25.711264727583224,0.0,0.038233228162993106,1.6332478812501355e-05,4.51320406551658e-05,124.99833831199089,0.36133568270807215,0,984.6600829852797,0.0011778714272668975,124.98249744776433,12.337645728781206,0.05768844492009334,969.8999408245569,-969.842252379638,-714.1794612587679,0.003419754111464758,0,283.5062733599997,898.9323952501558,-124.98244526920105,-124.97741473901748,-37.85274215324165,408.50457142097645,-853.4315493190811,50.589645359440176,0.057688444920093396,0,131.22866049001126,0
2.750602419344012e-05,0.3880730182824923,0.00017025746623227747,6.730025638970134e-06,25.66284334056355,0.0,0.04783135893914023,1.5598902504494622e-05,4.310492669795902e-05,124.83570343622841,0.38807301828249247,0,984.1516608961055,0.0011301851713599752,124.82060561927915,12.321751208795755,0.034109075381305295,967.6816281233995,-967.6475190480197,-713.8258149827673,7.610423333913652e-05,0,284.3208126109484,896.8083841637775,-124.82055578432562,-124.81476772847935,-37.831679472604726,409.15639011585165,-852.984947228824,50.52320566137556,0.034109075381305344,0,131.16683897947206,0
2.4831202623734943e-05,0.4158042611630208,0.00016749872404889297,6.07556472461954e-06,25.520662723494095,0.0,0.05778925975509164,1.408198822457811e-05,3.891319084833725e-05,124.28666879532375,0.4158042611630209,0,983.722560390694,0.0011183070283973396,124.27152714845408,12.368188591126247,0.19452904403895688,963.9137702016204,-963.7192411575834,-712.281152343726,9.517493388451609e-05,0,284.00768116430856,893.183083623359,-124.27148215969781,-124.27126146172063,-37.90668931490709,408.2942026826694,-852.0180937087271,50.294654480032435,0.19452904403895674,0,131.7045899113495,0
2.4831241597042925e-05,0.4160030530865085,0.0002778093771427275,6.075574260398327e-06,25.519436894891786,0.0,0.055464403460452866,1.4082010326675723e-05,3.891325192374284e-05,124.27641539250646,0.4160030530865087,0,983.667606118316,0.001675990407053781,124.26127160723195,12.371209081263508,0.1941976451231487,963.9291771059559,-963.7349794608346,-712.3160384335886,0.00012941570902864273,0,283.97743702986435,893.1953708368065,-124.26122661840576,-124.25516566692856,-37.904930780686726,408.2537051455001,-851.9787226281967,50.29080171163599,0.19419764512314874,0,131.68900672031305,0
2.483108232273767e-05,0.41759563346852374,0.0003165601546845016,6.075535290020407e-06,25.502371191283235,0.0,0.056047626336776575,1.4081920000849577e-05,3.891300232361147e-05,124.23633285413291,0.4175956334685242,0,984.3036440063925,0.0016674682714953174,124.21172168553062,12.372500683444475,0.19493227730158233,964.4827000409416,-964.2877677636413,-711.7528319891969,0.0004102421572777896,0,283.7878121080345,893.7179208994197,-124.21167669699318,-124.21013823650026,-37.92040437392681,408.02406861729156,-852.6470997103686,50.26141972842378,0.19493227730158236,0,131.66612855469984,0
