gene,entrez_gene_id
Dhx33,100755235
Wdr33,100754160
Med11,100768888
Polr3c,100752999
Noc4l,100773506
Mrpl44,100765972
Psma4,100756711
Ddx11,100756953
Ppox,100767777
Ddx5,100768812
Gart,100689446
Ptpn11,100771077
Cdipt,100750801
Lars1,100764360
Ndufs7,100766693
Cpox,100772187
Atp6v1b2,100774665
Dync1h1,100771366
Adrm1,100754801
Psmb1,100751285
Hscb,100769569
Arpc4,100756023
Terf2,100762546
Polr3b,100759724
Toe1,100752093
Flad1,100774575
Wdr46,100750904
Cdc16,100759495
Cdc123,100753983
Rcc1l,100768632
Rpl27a,100750602
Trub2,100766452
Mrpl10,100754497
Slc25a3,100758020
Tomm22,100774120
Rpl18a,100772334
Hmgcs1,100762235
U2af2,100769215
Rad1,100756835
Rps12,100753860
Upf1,100765798
Psmd6,100751274
Mrps5,100773581
Ndufv2,100757242
Tufm,100766830
Cinp,100755743
LOC100759352,
Mcmbp,100754052
Exosc7,100763217
Haus6,100761416
Dhx9,100765632
Parg,100769150
Nol9,100768603
Polr3e,100764912
Ppwd1,100761004
Rpe,100756130
Tbcc,100772749
Nol11,100767464
Eif3d,100769541
Wee1,100753258
Dctn6,100754783
Mrpl45,100755070
Dnajc9,100762162
Pop5,100754888
Ndufc1,100766880
Iars1,100754316
Get3,100761936
Ptpmt1,100763640
Hcfc1,100774489
Lonp1,100771385
Slc39a8,100767442
Sec22b,100689313
Atxn7l3,100754412
Urod,100753284
Ran,100769066
Ruvbl1,100761458
Bub3,100767122
Riok1,100765917
Wdr43,100760947
Dhx15,100764898
Fntb,100752221
Eif2s3,100769010
Cops6,100774513
Nudc,100771417
Usp36,100768120
Hectd1,100762999
Trappc8,100750879
Eftud2,100757897
Alg11,100771009
Srbd1,100762977
Mrpl20,100771139
Mcm4,100770466
Lss,100753498
Eef1g,100753545
Wdr48,100752446
Guk1,100770439
Chmp6,100753694
CUNH1orf109,100753330
Cant1,100767250
Dhx38,100757501
Mrps35,103162619
Lto1,100758599
Farsa,100763673
Atpaf2,100754752
LOC100764102,100764102
Rps8,100755051
Bub1,100772514
Sin3a,100761538
Pik3ca,100689251
Wdr20,100772230
Rbbp6,100773570
Ttc1,100766507
Atp6v0b,100754687
Mtor,100755421
Atp5pb,100774535
Mrpl3,100768688
Mrps7,100756199
Ndufa9,100773563
Rad17,100773436
Ppil2,100760101
Ugp2,100689325
Rpp14,100769100
Rps4x,100689408
Nadk,100755696
N6amt1,100768580
Rprd1b,100759004
Timeless,100764475
Polr2a,100689016
Dimt1,100756397
Ptpa,100770682
Mtr,100763416
Pym1,100770070
Rnps1,100689458
Pfas,100760956
Cog5,100754837
Ybey,100752720
Kars1,100766627
Trpm7,100752689
Mettl16,100765063
Eif3i,100753319
Ints7,100750715
Ints3,100768339
Ddx54,100770376
Lsg1,100773753
Fbxw7,100761759
Cct4,100767849
Ppp1r7,100753495
Ddx3x,100764307
Cdt1,100689460
Dicer1,100689239
Rps27a,100765052
Tnpo3,100753994
Ndc80,100751668
Cog4,100752814
Pisd,100689093
Ciao1,100758531
Pcyt2,100756894
Psmd4,103161668
Pafah1b1,100764774
Mrps2,100757282
Mphosph10,100762733
Rpl34,100753386
Rcc1,100769945
Smc6,100757987
Supt5h,100761749
Mfap1,100753487
Dap3,100771966
Cenpo,100755730
Tomm70,100758190
Pwp1,100763407
Pikfyve,100758487
Ascc3,100762460
Emc6,103160389
Rabggtb,100762868
Polr1h,100753139
Tcerg1,100763776
Nfs1,100756727
Kin,100761113
Ykt6,100763402
Nop58,100764223
Utp23,100751711
Cmtr1,100755381
Taf7,100689466
Thoc2,100772483
Dhcr7,100771700
Shmt2,100754714
Mrpl21,100754354
Ccnh,100762144
Uba1,100769040
Pex2,100689047
Gars1,100751073
Lcmt1,100762400
Vhl,100751916
Urb1,100766838
Clp1,100755872
Mrpl35,100762335
Uba3,100756784
Lipt2,100756678
Pelo|Itga1,100750681
Mad2l1,100753081
Mcm6,100767151
Ints11,100769426
Dolk,100768385
Ndufs2,100768067
Nelfa,100769975
Cap1,100774682
Zrsr2,100769034
Get4,100769304
Khdc4,100764357
Wapl,100752368
Smc1a,100758263
Preb,100764138
Dcp2,100773631
LOC100773524|LOC100763630|LOC100759534,100773524
Homer3|Ddx49,100765219
Slc25a26,100769239
Prpf31,100765568
Gbf1,100689421
Tmx2,100755000
Slc35a2,100689031
Rpl7,100763698
Mrpl57,100759801
Cct2,100759253
Nelfb,100773760
Sfpq,100761355
Gemin5,100766595
Pak1ip1,100763693
Snrnp200,100758820
Vps53,100760896
Eif2b1,100770460
Mtrr,100773236
Atp13a3,100769908
Rad50,100755349
LOC100760261,100760261
Mbtps1,100689417
Dpagt1,100689054
Tsen34,100766729
Csnk1a1,100758298
Tuba1a|Tuba1c|Tuba1b,100682528
Ahcy,100750969
Gabpa,100756649
LOC103159924,103159924
Csnk2b,100763034
Ints4,100767027
Mpdu1,100689049
Smg5,100762914
B3gnt2,100766691
Eif4a3,100757133
Mcm3ap,100753019
Rae1,100759605
Cwc22,100768134
Mrps28,103161031
Flcn,100760396
Ndrg1,100758250
LOC100757863,100757863
Cope,100689412
LOC100766032,100766032
Rpusd4,100758848
Acly,100773325
Hbs1l,100750806
LOC100753603,100753603
Znf146|Tbcb,100770447
Slc39a14,100768099
Tfb2m,100765415
Nop14,100767594
Dohh,100771021
Polr2d,100755604
Fau,100689400
Fdps,100754883
Snrpd2,100757226
Cnot10,100770796
Hgs,100765681
Ppie,100773432
Hars2,100757923
Oip5,100763649
Prpf3,100762116
Mms19,100766371
Mios,100760592
Rpsa,100689045
Smc2,100759197
Sptlc1,100689326
Mrpl28,100754102
Pfdn6,100750607
Suds3,100758994
Kmt5a,100774411
Ccdc12,100766224
Ddx19b,100766470
Cdc23,100752608
Ak6|Taf9,100768838
Ticrr,100762467
Rpl14,100774219
Eprs1,100774338
Ptpn23,100764470
Polrmt,100762430
Fam50a,100759186
Nuf2,100767003
Nubp2,100752903
Ddx46,100763282
Taf6l,103159405
Tefm,100771926
Pgk1,100689467
Gclc,100752019
Cops5,100767044
Pik3c3,100765741
Polr3h,113830647
Nup88,100754367
Lsm10,100759318
Mms22l,100768068
LOC100751499,100751499
Fh,100773218
Mrpl23,100769317
