gene.id,gene.name,entrez_gene_symbol
100764264,Letm1,Letm1
100762360,Atp6v0d1,Atp6v0d1
100774665,Atp6v1b2,Atp6v1b2
100754687,Atp6v0b,Atp6v0b
100755187,Atp6v1e1,Atp6v1e1
100772184,Atp6v0c,Atp6v0c
100773930,Atp6v1c1,Atp6v1c1
100768315,Atp6v1a,Atp6v1a
100769239,Slc25a26,Slc25a26
100689038,Cert1,Cert1
100760402,Slc26a6,Slc26a6
100764508,Slc11a2,Slc11a2
100770901,Slc4a7,Slc4a7
100689031,Slc35a2,Slc35a2
100758971,Arcn1,Arcn1
100758514,Copb2,Copb2
100689412,Cope,Cope
100762124,Copa,Copa
100758598,Slc25a27,Slc25a27
100752689,Trpm7,Trpm7
100765669,Atp1b3,Atp1b3
100771378,Atp1a1,Atp1a1
100766724,Flvcr1,Flvcr1
100765773,Slc9b2,Slc9b2
100766714,Abcb7,Abcb7
100689025,Slc20a1,Slc20a1
100758020,Slc25a3,Slc25a3
100689360,Slc25a32,Slc25a32
100754926,Slc39a10,Slc39a10
100768099,Slc39a14,Slc39a14
100767442,Slc39a8,Slc39a8
100751596,Slc30a1,Slc30a1
100754811,Aasdhppt,Aasdhppt
100689028,Dhfr,Dhfr
100772460,Rdh5,Rdh5
100769100,Rpp14,Rpp14
100773611,Nadk2,Nadk2
100774575,Flad1,Flad1
100767410,Rfk,Rfk
100751162,Coq6,Coq6
100763862,Mthfd1,Mthfd1
100770086,Mthfd2,Mthfd2
100689207,Fasn,Fasn
100762904,Acaca,Acaca
100750893,Aacs,Aacs
100770943,Acad9,Acad9
100767445,Mecr,Mecr
100765668,Hacd2,Hacd2
100761652,Tecr,Tecr
100761128,Far1,Far1
100770447,Tbcb,Znf146|Tbcb
100774219,Rpl14,Rpl14
100761974,Gnpnat1,Gnpnat1
100762575,Pgm3,Pgm3
100763471,Uxs1,Uxs1
113830648,Gale,Gale
100762756,Pfkfb3,Pfkfb3
100760573,Gmppb,Gmppb
100764596,Mpi,Mpi
100761591,Rrm1,Rrm1
100752542,Rrm2,Rrm2
100756723,Ak2,Ak2
100689060,Adsl,Adsl
100767083,Adss2,Adss2
100689101,Ctps1,Ctps1
100770439,Guk1,Guk1
100755252,Dtymk,Dtymk
100761578,Dut,Dut
100756126,Gmps,Gmps
100756835,Rad1,Rad1
100761098,Rad9a,Rad9a
100689398,Impdh2,Impdh2
100767250,Cant1,Cant1
100763307,Nme6,Nme6
100754276,Tyms,Tyms
100689446,Gart,Gart
100771066,LOC100771066,LOC100771066
100752553,LOC100752553,LOC100752553
100756809,Agps,Agps
100773070,Cept1,Cept1
100689449,Pgs1,Pgs1
100750801,Cdipt,Cdipt
100760699,Pla2g15,Pla2g15
100765024,Gnpat,Gnpat
100764774,Pafah1b1,Pafah1b1
100756894,Pcyt2,Pcyt2
100770133,Pi4kb,Pi4kb
100756055,Pi4ka,Pi4ka
100689093,Pisd,Pisd
100771256,Gbgt1,Gbgt1
100766256,Atr,Atr
100761272,Vrk1,Vrk1
100764515,Cdk6,Cdk6
100751099,Chek1,Chek1
100752584,Smg1,Smg1
100763034,Csnk2b,Csnk2b
100772514,Bub1,Bub1
100763424,Csnk2a2,Csnk2a2
100771294,Tlk2,Tlk2
100751831,Map3k15,Map3k15
100751503,Pak2,Pak2
100765813,Stk11,Stk11
