Gene	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S1	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S2	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S3	S40	S41	S42	S43	S4	S5	S6	S7	S8	S9
Aak1	4.465822	3.446505	2.172444	3.726583	5.336451	3.6410169999999997	3.6488169999999998	5.403821	1.193165	2.909298	1.874888	5.736438	2.848068	1.884536	4.458011	1.312352	5.302777	7.969502	1.824756	4.060558	6.462128	2.286593	2.710019	7.350482	15.147645	3.549572	1.7999349999999998	1.484845	4.757994999999999	7.981889999999999	1.535568	2.623996	3.595542	2.006053	3.3253690000000002	6.565257000000001	11.235522	5.550204	4.971291000000001	5.243566	0.952109	2.006816	4.067314
Aamdc	36.817245	31.439938	20.947206	18.518301	19.069687	34.2766	42.406231	72.18079399999999	42.370079	76.93079399999999	18.298842999999998	75.49063100000001	198.336426	34.978092	36.934174	103.826599	156.127975	149.478607	54.263401	47.436459	62.930519	24.684532	91.908112	109.73955500000001	162.148743	32.759502000000005	45.976006	85.99874100000001	55.700417	94.76564	34.261897999999995	56.247383	26.446056	65.118378	69.832047	107.67865	118.372879	38.583721000000004	29.136291999999997	23.108356	11.854401	26.615565999999998	21.563774
Aamp	102.900246	49.491856	37.744156	85.69208499999999	88.860786	69.290588	100.93486	84.365372	248.8806	67.94294000000001	79.498802	92.933998	120.37445100000001	85.437271	91.249298	118.564003	124.99625400000001	100.185112	190.02171299999998	115.183701	98.666946	270.85925299999997	105.619804	104.429214	122.184082	62.37466	124.27578700000001	97.060783	90.81662800000001	75.74945100000001	83.876328	117.19561000000002	77.154129	80.683594	82.375755	104.698639	76.882042	98.612579	41.807869000000004	45.949554	77.522774	118.93852199999999	96.191177
Aanat	0.0	0.0	0.0	0.0	0.0	0.601973	0.120753	0.0	0.0	0.0	0.116798	0.440075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.284049	0.0	0.0	0.0	0.0	0.0	0.0	0.450712	0.14022	0.0	0.0	0.318135	0.0	0.35002300000000003	0.0	0.0	0.0	0.0	0.200819	0.0	0.0
Aar2	23.282026000000002	15.196612	17.532892	26.215878000000004	31.79859	23.172598	29.661051	25.919151	35.253567	16.228384	26.257092	26.39913	11.487207000000001	22.661409	24.450714	21.83061	8.839442	15.381173	22.536488000000002	35.624401	26.196733	19.109516	20.072160999999998	15.584570999999999	27.656747999999997	26.523462	29.837851	20.823587	23.511677	16.871737	21.795	35.490196000000005	34.196831	27.146688	28.774286	20.884422	22.427919	31.009940999999998	15.759910999999999	18.783321	25.302679	21.699858	35.562271
Aars	282.011993	237.691406	182.249115	69.713844	123.833679	158.771683	228.496643	238.272064	239.33076499999999	161.981201	65.861183	245.748444	274.75482200000005	90.78439300000001	120.179001	222.910141	263.455383	255.497101	91.91510799999999	246.206421	251.21618700000002	192.722275	204.576065	206.42515600000002	327.518738	81.48806	197.346375	168.983353	216.198029	236.32156400000002	63.575633999999994	136.874435	253.32951400000002	195.491241	221.59011800000002	244.76106299999998	250.6745	289.850037	231.10339399999998	228.646637	78.739914	98.976616	267.652649
Aars2	1.8470090000000001	0.29780700000000004	0.30225799999999997	4.257043	4.833866	0.812481	2.068858	1.867577	8.987605	1.4315129999999998	5.031664	1.489558	1.123448	4.806664	4.299171	1.1447200000000002	0.0	1.437075	7.186682000000001	5.849556	3.159816	9.756771	1.099006	0.624239	2.1423650000000003	4.91983	5.698858	1.8388200000000001	2.6363540000000003	1.123777	4.022387999999999	3.071576	2.27838	1.958768	2.008607	1.575966	1.54561	1.921561	0.180016	0.592753	4.22936	5.9652199999999995	2.8486849999999997
Aarsd1	35.847515	23.317423	16.921860000000002	40.422405	40.996272999999995	40.98737	28.63518	31.402203000000004	84.22981300000001	51.813263	44.112225	24.555874	37.570007000000004	54.966781999999995	46.860184000000004	38.429501	27.472593	33.729637	97.659645	51.972466	44.214024	71.608124	27.185482	39.668746999999996	35.705684999999995	41.274853	71.93180100000001	60.203041000000006	25.457098000000002	24.368382	56.966053	68.22895799999999	27.673417999999998	41.806881	28.664859999999997	27.517719	24.882494	33.784603000000004	14.885266	19.668707	40.48835	59.568554000000006	30.390059
Aasdh	3.4587199999999996	1.486251	2.539605	3.5064309999999996	4.527786	1.712877	2.442095	2.944776	3.493221	2.354551	5.743468	4.6905980000000005	1.929145	3.55045	5.011714	2.937186	4.15269	3.8763949999999996	4.798481	3.052494	5.2710349999999995	2.991673	5.8171040000000005	3.901506	4.280318	4.318066	2.0381299999999998	2.629508	7.206285	4.144146	4.350372	1.4960870000000002	6.40724	5.638585	3.7374980000000004	3.462357	4.474858	4.0359940000000005	3.994985	5.549685	5.56013	2.073353	5.772183
Aasdhppt	32.928432	28.709133	23.809834	86.53184499999999	90.894035	41.684944	29.933119	22.170338	30.066706	45.480682	82.440926	39.026714	38.219482	78.201759	70.477982	39.004581	30.588593	35.019077	37.585793	65.607925	74.915657	44.326359000000004	33.219978000000005	46.734753000000005	55.854957999999996	75.123032	44.762886	45.466316	34.700737	34.854965	55.429522999999996	63.091213	52.28957	73.831673	47.713558	33.219944	48.318134	34.809834	34.3452	30.982494	97.993088	50.279076	53.607986
Aass	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aatf	89.08665500000001	99.37593100000001	82.54872900000001	147.286652	121.876534	71.65610500000001	78.410561	107.084526	205.251801	137.97659299999998	138.27832	118.635178	209.726852	182.45639	198.767502	152.98533600000002	310.19689900000003	106.242599	140.512039	246.944916	201.19546499999998	146.144531	137.583527	166.142181	216.954254	167.715454	210.27916000000002	160.026611	117.356384	98.560188	124.07534	230.927933	87.444176	180.89584399999998	129.51683	115.02930500000001	132.015121	89.643227	88.816238	92.25745400000001	152.123108	79.108284	89.864418
Aatk	0.639678	0.131589	0.02285	0.265378	0.355306	0.641428	1.2835889999999999	0.42195900000000003	0.64564	0.982858	0.21310300000000001	1.356157	0.984352	0.342339	0.635838	1.8301919999999998	2.042922	1.995225	0.5474319999999999	0.6352260000000001	1.858925	0.7337279999999999	1.420375	1.981354	2.2421759999999997	0.520922	0.715634	0.558511	1.8141209999999999	1.805539	0.508026	0.256035	0.753789	0.61528	1.23644	1.600839	1.804921	0.870292	0.076275	0.25427	0.425641	0.316606	0.827032
Abat	0.0	0.0	0.0	0.0	0.082741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
